Uniprot	Histones	Absolute quantification accuracy	Length	Mass	Chromatome	Unique_razor_pept	Total_pept	Copy number Chromatome	protein_group
NaN		medium	416	47.378	NaN	3	3	0	P78356
NaN		low	931	105.81	NaN	2	2	0	O95427
NaN		high	836	92.932	NaN	9	9	0	Q9H5V8
NaN		high	1781	194.61	NaN	10	11	0	O60292
NaN		medium	695	81.172	NaN	3	3	0	Q68DH5
NaN		medium	432	48.551	NaN	3	3	0	Q15645
NaN		medium	975	107.616	NaN	5	5	0	Q86UT6
NaN		low	1007	117.494	NaN	1	1	0	Q8TBY8
NaN		medium	271	31.284	NaN	3	3	0	Q96FW1
NaN		low	491	56.278	NaN	1	1	0	P20813
NaN		medium	454	52.593	NaN	5	8	0	Q9P0V9
NaN		medium	285	31.307	NaN	3	3	0	Q9H9H4
NaN		low	224	26.153	NaN	2	2	0	Q9HBM1
NaN		medium	803	90.012	NaN	4	5	0	Q14155
NaN		low	388	43.968	NaN	2	2	0	Q8WV60
NaN		low	638	65.841	NaN	3	16	0	Q01546
NaN		low	1241	137.92	NaN	5	15	0	P23634
NaN		low	460	52.337	NaN	1	1	0	Q9UJW0
NaN		low	525	55.087	NaN	1	3	0	Q2M2I5
NaN		low	301	32.668	NaN	1	1	0	Q96D31
NaN		low	339	38.708	NaN	1	1	0	Q5HYJ3
NaN		low	504	55.817	NaN	1	1	0	Q96SQ9
NaN		low	783	89.005	NaN	1	1	0	Q9C0B6
NaN		medium	109	11.832	NaN	4	4	0	P52926
NaN		medium	259	29.044	NaN	6	6	0	Q9BZG1
NaN		medium	192	21.429	NaN	3	5	0	P15153
NaN		high	1621	177.439	NaN	33	33	0	P48681
NaN		medium	1577	177.347	NaN	4	4	0	Q6XZF7
NaN		low	521	56.648	NaN	2	2	0	Q13950
NaN		low	491	54.529	NaN	2	2	0	Q8NBI5
NaN		low	130	12.41	NaN	1	1	0	Q9H2X8
NaN		medium	926	102.132	NaN	7	7	0	Q9UDR5
NaN		medium	718	82.255	NaN	4	4	0	Q93063
NaN		low	208	23.067	NaN	1	1	0	Q99075
NaN		medium	1096	120.588	NaN	3	4	0	Q9NX05
NaN		medium	1100	121.854	NaN	3	3	0	O95466
NaN		low	362	39.32	NaN	1	1	0	Q147X3
NaN		low	975	111.932	NaN	1	2	0	Q96PU5
NaN		low	729	80.152	NaN	1	1	0	Q17RY0
NaN		medium	606	68.597	NaN	3	3	0	O14678
NaN		low	400	44.744	NaN	1	1	0	P22891
NaN		medium	1346	149.457	NaN	6	6	0	Q8IZF2
NaN		low	338	38.538	NaN	1	1	0	O14832
NaN		low	400	46.207	NaN	1	1	0	P15509
NaN		low	704	78.051	NaN	1	1	0	Q9H992
NaN		low	460	51.588	NaN	1	1	0	Q9P2S5
NaN		low	172	19.827	NaN	2	6	0	P24844
NaN		medium	149	17.307	NaN	3	3	0	Q92478
NaN		low	315	33.849	NaN	2	6	0	Q9H1K4
NaN		low	208	23.23	NaN	2	2	0	Q9H0R3
NaN		low	404	46.214	NaN	1	8	0	Q14525
NaN		low	199	21.005	NaN	2	2	0	Q9H9H5
NaN		low	176	19.733	NaN	2	2	0	P39210
NaN		medium	363	41.834	NaN	3	3	0	O75818
NaN		medium	469	51.735	NaN	5	5	0	Q53EL6
NaN		low	448	50.343	NaN	1	6	0	Q14532
NaN		low	241	26.636	NaN	2	2	0	Q96HA9
NaN		medium	555	62.736	NaN	3	3	0	Q9Y625
NaN		low	211	22.744	NaN	1	1	0	O95832
NaN		low	232	27.52	NaN	1	1	0	Q5VWC8
NaN		low	638	70.049	NaN	1	1	0	P60852
NaN		low	721	81.787	NaN	2	2	0	Q8N3Y3
NaN		low	509	58.875	NaN	1	1	0	Q8N118
NaN		medium	258	29.158	NaN	5	6	0	Q9BPZ2
NaN		medium	347	35.879	NaN	5	5	0	P17275
NaN		medium	247	28.481	NaN	4	4	0	Q9H3R5
NaN		high	2285	242.045	NaN	29	31	0	O14497
NaN		medium	499	56.369	NaN	4	6	0	Q13557
NaN		medium	199	22.109	NaN	4	4	0	Q7LBR1
NaN		low	156	16.549	NaN	1	1	0	P0DH78
NaN		high	1162	133.066	NaN	11	11	0	O75182
NaN		high	1368	156.474	NaN	15	15	0	Q9ULK4
NaN		medium	760	86.909	NaN	7	7	0	P18074
NaN		low	224	25.915	NaN	2	2	0	P17026
NaN		medium	514	58.777	NaN	3	3	0	P49591
NaN		medium	1132	119.409	NaN	5	5	0	P46379
NaN		low	418	45.929	NaN	2	2	0	Q15532
NaN		low	115	13.028	NaN	1	1	0	A0A087X0M5
NaN		medium	1496	165.538	NaN	5	5	0	O15056
NaN		low	684	76.976	NaN	2	2	0	P12757
NaN		low	381	43.046	NaN	1	1	0	Q96FG2
NaN		low	715	81.04	NaN	1	1	0	P11678
NaN		low	780	90.219	NaN	1	1	0	P23109
NaN		low	684	77.163	NaN	1	1	0	Q8WVZ9
NaN		low	1939	223.735	NaN	1	2	0	P13533
NaN		medium	3661	410.501	NaN	3	3	0	Q96Q15
NaN		low	3165	350.796	NaN	1	1	0	Q5T1H1
NaN		high	912	101.858	NaN	23	25	0	Q9Y6K1
NaN		medium	338	38.726	NaN	6	6	0	Q01664
NaN		high	1524	170.544	NaN	24	24	0	Q14146
NaN		high	894	98.337	NaN	11	12	0	P30530
NaN		medium	609	67.352	NaN	6	6	0	Q6L8Q7
NaN		medium	531	57.359	NaN	5	5	0	Q8N5A5
NaN		medium	532	56.081	NaN	5	5	0	Q14781
NaN		medium	837	92.307	NaN	7	7	0	Q9Y6X8
NaN		medium	562	60.509	NaN	4	4	0	Q8NAF0
NaN		low	147	16.468	NaN	1	1	0	A6NMZ2
NaN		medium	1914	217.953	NaN	3	3	0	Q13129
NaN		low	619	67.89	NaN	1	1	0	Q96K58
NaN		low	878	99.596	NaN	1	1	0	Q6DN12
NaN		high	278	29.537	NaN	8	8	0	Q9BTZ2
NaN		medium	683	73.55	NaN	6	6	0	Q5K4L6
NaN		low	153	16.353	NaN	1	1	0	Q8WUR7
NaN		medium	812	88.65	NaN	4	4	0	Q15345
NaN		medium	1208	138.658	NaN	7	7	0	Q9UNS1
NaN		medium	2715	293.515	NaN	7	10	0	Q9UMN6
NaN		high	2168	240.459	NaN	8	8	0	Q9UIF8
NaN		low	1378	150.929	NaN	2	2	0	Q96HA7
NaN		high	1458	164.914	NaN	28	33	0	Q9ULI0
NaN		medium	595	67.561	NaN	4	4	0	P29350
NaN		low	684	78.034	NaN	2	2	0	Q53H47
NaN		low	450	48.957	NaN	1	1	0	Q9NWS9
NaN		medium	2220	246.352	NaN	5	5	0	Q9Y6J0
NaN		low	509	59.326	NaN	1	1	0	A2RRD8
NaN		low	4857	530.255	NaN	1	1	0	Q9NR09
NaN		low	90	9.539	NaN	1	1	0	O00479
NaN		low	421	47.996	NaN	2	2	0	Q9UGI8
NaN		medium	227	25.565	NaN	7	7	0	Q9UIJ7
NaN		low	180	19.901	NaN	1	2	0	Q8IY57
NaN		medium	201	22.18	NaN	3	3	0	Q9NYL4
NaN		low	1356	151.151	NaN	1	1	0	Q12767
NaN		medium	2073	231.378	NaN	9	13	0	Q8WYB5
NaN		low	334	36.426	NaN	2	2	0	P40925
NaN		high	465	51.456	NaN	8	8	0	P56159
NaN		low	212	23.491	NaN	1	1	0	Q9H0T7
NaN		low	1142	128.717	NaN	2	2	0	Q5SVZ6
NaN		low	1068	113.32	NaN	1	1	0	P55197
NaN		low	513	54.671	NaN	1	1	0	O43474
NaN		low	1068	120.847	NaN	1	1	0	P28749
NaN		medium	248	28.522	NaN	5	8	0	P67936
NaN		low	407	42.153	NaN	2	2	0	Q16186
NaN		high	522	58.814	NaN	16	16	0	Q8N884
NaN		low	542	60.609	NaN	1	1	0	O00294
NaN		medium	968	105.356	NaN	3	3	0	P19838
NaN		low	748	81.469	NaN	1	1	0	Q8WXH2
NaN		medium	462	49.607	NaN	7	7	0	Q15465
NaN		low	475	52.932	NaN	2	2	0	Q9UJT0
NaN		low	508	57.118	NaN	1	1	0	Q9BXI6
NaN		low	708	80.148	NaN	1	1	0	Q9NVR0
NaN		low	1291	143.157	NaN	1	1	0	Q15047
NaN		medium	534	57.325	NaN	7	7	0	Q6ZUT6
NaN		medium	1134	121.52	NaN	6	6	0	Q9NPG3
NaN		low	308	33.806	NaN	1	1	0	Q16775
NaN		low	747	78.171	NaN	1	1	0	Q71SY5
NaN		low	672	74.484	NaN	2	2	0	Q86T24
NaN		low	561	64.256	NaN	1	1	0	Q53GI3
NaN		high	584	61.439	NaN	10	10	0	O95365
NaN		medium	335	38.83	NaN	3	3	0	Q5EB52
NaN		medium	572	63.267	NaN	3	3	0	Q8NDF8
NaN		low	609	68.678	NaN	1	2	0	P02771
NaN		low	466	51.24	NaN	1	1	0	Q9UJ96
NaN		low	1560	158.49	NaN	1	1	0	Q9NZM4
NaN		low	1602	177.972	NaN	1	1	0	Q5T5Y3
NaN		low	2063	219.145	NaN	1	1	0	Q14686
NaN		low	216	23.889	NaN	2	2	0	Q6P1X6
NaN		low	412	43.898	NaN	1	2	0	O95503
NaN		low	577	62.541	NaN	2	2	0	Q9HCI7
NaN		medium	291	33.049	NaN	3	3	0	Q9Y365
NaN		low	163	18.704	NaN	1	1	0	Q8WYK2
NaN		medium	1017	115.01	NaN	5	5	0	A8MW92
NaN		low	476	52.989	NaN	2	2	0	O75674
NaN		low	523	61.633	NaN	1	1	0	Q7L2R6
NaN		medium	359	42.123	NaN	6	11	0	P29992
NaN		medium	726	80.927	NaN	3	3	0	Q9H8Y5
NaN		low	201	23.31	NaN	1	1	0	P43487
NaN		low	258	28.97	NaN	1	1	0	O95721
NaN		low	410	45.07	NaN	1	1	0	Q14186
NaN		low	243	25.977	NaN	1	1	0	Q8IYL3
NaN		low	879	98.616	NaN	2	5	0	Q9H0X9
NaN		low	1320	136.001	NaN	1	1	0	Q10571
NaN		low	481	55.769	NaN	1	1	0	P31751
NaN		high	227	22.693	NaN	10	10	0	P80723
NaN		low	728	80.875	NaN	2	2	0	Q9Y2L9
NaN		low	2279	251.112	NaN	1	1	0	Q5VUA4
NaN		medium	373	40.527	NaN	5	5	0	Q9BRQ8
NaN		medium	622	68.96	NaN	3	3	0	Q9UPW0
NaN		medium	701	75.713	NaN	3	3	0	Q9Y3L3
NaN		medium	185	20.648	NaN	4	4	0	Q9UI14
NaN		high	999	111.335	NaN	35	35	0	Q9Y4L1
NaN		medium	611	69.413	NaN	6	6	0	O94955
NaN		medium	747	79.929	NaN	3	3	0	Q765P7
NaN		low	1258	138.599	NaN	1	1	0	O15357
NaN		medium	730	81.523	NaN	3	3	0	Q8TDW5
NaN		high	1401	157.182	NaN	23	23	0	Q15021
NaN		medium	858	96.865	NaN	4	5	0	Q92598
NaN		medium	585	67.166	NaN	4	4	0	Q9NRC1
NaN		low	452	53	NaN	1	1	0	P41212
NaN		low	1259	142.189	NaN	2	2	0	P48553
NaN		low	1231	140.017	NaN	1	1	0	Q8NDI1
NaN		low	96	10.922	NaN	2	2	0	Q9NP97
NaN		medium	450	50.854	NaN	6	6	0	Q9NS86
NaN		low	282	32.288	NaN	1	3	0	Q9BRL6
NaN		medium	607	68.297	NaN	4	4	0	Q9H9F9
NaN		medium	755	85.077	NaN	6	6	0	Q9UJX4
NaN		medium	492	54.099	NaN	4	4	0	O43237
NaN		medium	406	46.225	NaN	3	3	0	P48426
NaN		low	115	12.476	NaN	1	1	0	P14174
NaN		low	200	22.615	NaN	1	1	0	P40617
NaN		low	418	46.737	NaN	1	1	0	P01009
NaN		low	1210	131.422	NaN	2	2	0	P51825
NaN		low	1883	205.138	NaN	2	2	0	Q92545
NaN		high	640	70.699	NaN	15	15	0	Q16822
NaN		high	732	83.309	NaN	19	19	0	P48449
NaN		medium	315	34.69	NaN	6	6	0	Q8NFV4
NaN		medium	708	79.898	NaN	3	3	0	Q9NVU0
NaN		low	246	27.863	NaN	1	1	0	Q96DX8
NaN		low	373	40.462	NaN	1	1	0	Q9BV79
NaN		medium	1061	121.484	NaN	3	3	0	Q9Y4E5
NaN		low	1761	191.581	NaN	1	2	0	Q7LBC6
NaN		low	770	83.511	NaN	1	1	0	O95754
NaN		low	480	50.5	NaN	1	2	0	P23769
NaN		low	376	41.514	NaN	1	1	0	P52655
NaN		medium	4911	541.37	NaN	6	6	0	Q8NEZ4
NaN		high	334	36.638	NaN	10	11	0	P07195
NaN		low	593	63.967	NaN	1	3	0	Q15723
NaN		low	581	65.896	NaN	1	1	0	Q86VH5
NaN		medium	2549	288.892	NaN	3	3	0	P42345
NaN		high	645	72.932	NaN	34	34	0	P13667
NaN		high	518	58.283	NaN	8	8	0	Q9NP81
NaN		medium	445	46.701	NaN	6	6	0	Q96M27
NaN		medium	564	62.224	NaN	7	7	0	Q9HA77
NaN		low	277	30.85	NaN	2	2	0	O75828
NaN		low	305	33.247	NaN	1	1	0	Q96A73
NaN		low	499	60.09	NaN	1	1	0	P49760
NaN		low	620	69.83	NaN	1	1	0	P31641
NaN		low	1140	133.49	NaN	1	1	0	Q66GS9
NaN		high	318	36.596	NaN	11	11	0	Q7L5L3
NaN		low	760	84.082	NaN	2	2	0	Q9BRB3
NaN		low	645	72.217	NaN	2	2	0	Q9NTW7
NaN		low	1144	128.96	NaN	1	1	0	O60266
NaN		high	976	108.266	NaN	21	23	0	P29317
NaN		medium	204	21.64	NaN	3	3	0	Q9BUH6
NaN		high	2671	304.106	NaN	59	66	0	Q14573
NaN		medium	465	49.162	NaN	3	3	0	O00716
NaN		medium	602	68.25	NaN	3	3	0	Q9H9A6
NaN		low	578	63.729	NaN	2	2	0	Q9UJ83
NaN		low	569	62.893	NaN	1	1	0	Q8TBZ3
NaN		medium	298	32.237	NaN	3	3	0	Q96CN7
NaN		low	201	22.836	NaN	2	2	0	P49721
NaN		medium	871	94.894	NaN	5	5	0	Q96DT7
NaN		medium	494	55.024	NaN	3	3	0	O60701
NaN		medium	651	74.732	NaN	4	4	0	P08236
NaN		low	418	46.743	NaN	1	1	0	Q9NXR8
NaN		low	303	34.277	NaN	2	2	0	P55210
NaN		low	372	42.791	NaN	1	1	0	Q7L5A8
NaN		medium	164	17.76	NaN	4	4	0	Q9ULX9
NaN		high	401	46.562	NaN	10	10	0	O75718
NaN		medium	436	49.783	NaN	4	4	0	Q96FJ0
NaN		low	2002	223.811	NaN	1	1	0	Q6N021
NaN		medium	353	39.154	NaN	3	3	0	Q9H9L3
NaN		low	540	61.117	NaN	2	2	0	Q9NZW5
NaN		low	249	29.314	NaN	1	1	0	Q8WV92
NaN		low	665	74.678	NaN	1	1	0	Q13613
NaN		low	546	62.035	NaN	1	1	0	Q8N0U7
NaN		low	359	42.142	NaN	4	9	0	P50148
NaN		low	265	31.376	NaN	1	1	0	Q9H5J4
NaN		low	1172	129.991	NaN	1	1	0	P35442
NaN		high	822	90.208	NaN	19	19	0	Q9UGT4
NaN		low	454	51.295	NaN	2	2	0	Q06546
NaN		low	581	66.938	NaN	2	2	0	Q8IXK2
NaN		low	723	78.315	NaN	1	1	0	Q9NZ52
NaN		high	893	99.327	NaN	12	12	0	Q14764
NaN		low	4158	475.983	NaN	1	1	0	Q9C0G6
NaN		medium	1537	164.856	NaN	3	3	0	Q8TEK3
NaN		low	613	68.976	NaN	1	1	0	Q7Z5L7
NaN		low	663	75.617	NaN	1	1	0	Q96MT1
NaN		medium	443	51.597	NaN	3	3	0	P61201
NaN		low	90	10.138	NaN	1	1	0	P57730
NaN		low	396	42.451	NaN	1	1	0	Q03426
NaN		low	412	47.328	NaN	2	2	0	P10600
NaN		low	572	66.039	NaN	1	1	0	Q6ZUG5
NaN		low	1690	175.964	NaN	1	1	0	Q9HCJ0
NaN		medium	401	44.231	NaN	3	3	0	Q13561
NaN		medium	527	58.022	NaN	4	4	0	O95747
NaN		low	742	81.515	NaN	1	1	0	Q5KU26
NaN		low	406	46.269	NaN	2	2	0	Q9BT78
NaN		low	669	76.696	NaN	1	1	0	Q6MZZ7
NaN		medium	254	29.506	NaN	4	4	0	P61289
NaN		low	520	58.147	NaN	2	2	0	Q96S94
NaN		low	2286	261.518	NaN	2	2	0	Q07864
NaN		low	1766	200.552	NaN	1	1	0	O94822
NaN		medium	1026	117.402	NaN	4	4	0	Q9H4L7
NaN		low	796	82.659	NaN	1	2	0	Q9H1B7
NaN		low	873	97.669	NaN	1	1	0	Q5H9R7
NaN		low	249	28.402	NaN	2	2	0	Q9BRU9
NaN		high	720	82.615	NaN	12	12	0	Q96JJ3
NaN		low	197	22.478	NaN	2	2	0	Q8NBT2
NaN		low	506	54.814	NaN	2	2	0	Q12894
NaN		low	340	37.687	NaN	1	1	0	Q9UNI6
NaN		medium	1371	151.557	NaN	3	3	0	Q5VZK9
NaN		high	1500	164.939	NaN	39	39	0	P31327
NaN		low	241	27.57	NaN	1	1	0	Q9NP64
NaN		low	514	55.406	NaN	1	2	0	P20839
NaN		medium	862	96.662	NaN	2	3	0	O95985
NaN		low	1426	160.274	NaN	1	1	0	Q9P241
NaN		high	346	38.8	NaN	7	9	0	O75525
NaN		high	925	100.146	NaN	9	9	0	Q13469
NaN		high	737	83.096	NaN	8	8	0	Q8ND82
NaN		low	216	25.091	NaN	2	2	0	Q7L9L4
NaN		low	574	63.62	NaN	1	3	0	O75084
NaN		low	517	60.034	NaN	1	1	0	Q9UL58
NaN		low	1644	185.166	NaN	2	2	0	Q5TAX3
NaN		low	1099	124.504	NaN	1	1	0	O43295
NaN		low	5202	575.6	NaN	1	1	0	O75445
NaN		medium	487	55.051	NaN	3	3	0	Q9UNW1
NaN		low	330	37.61	NaN	1	1	0	Q86SK9
NaN		medium	1706	194.107	NaN	3	3	0	Q8IZH2
NaN		low	723	83.594	NaN	1	1	0	Q6UWE0
NaN		low	882	100.284	NaN	1	1	0	Q70JA7
NaN		high	423	47.651	NaN	8	8	0	P01011
NaN		high	853	95.751	NaN	12	14	0	Q9UBC3
NaN		medium	605	66.675	NaN	7	7	0	O15297
NaN		medium	420	45.814	NaN	3	4	0	Q5T0B9
NaN		low	118	14.381	NaN	2	2	0	Q9BTL3
NaN		high	3703	404.419	NaN	8	8	0	Q15911
NaN		medium	575	61.521	NaN	5	5	0	P19532
NaN		low	104	11.425	NaN	2	2	0	Q9NRY2
NaN		low	187	20.659	NaN	2	2	0	O00746
NaN		high	619	67.498	NaN	9	11	0	P32519
NaN		low	620	70.971	NaN	1	2	0	P35789
NaN		low	619	68.81	NaN	2	2	0	Q5T1V6
NaN		low	503	57.56	NaN	1	1	0	P19099
NaN		medium	425	48.081	NaN	2	3	0	P84022
NaN		medium	838	93.909	NaN	5	5	0	Q658Y4
NaN		low	196	21.802	NaN	2	2	0	Q93062
NaN		medium	934	104.93	NaN	6	6	0	Q9HCH5
NaN		low	573	62.663	NaN	2	2	0	Q99504
NaN		low	259	30.346	NaN	1	1	0	Q9BSM1
NaN		high	1538	169.451	NaN	11	12	0	Q7Z460
NaN		low	350	40.05	NaN	2	2	0	Q9H5K3
NaN		low	394	42.637	NaN	2	2	0	Q86UD0
NaN		low	568	63.351	NaN	2	2	0	P42568
NaN		low	954	104.956	NaN	2	2	0	Q5T7W0
NaN		low	747	86.148	NaN	2	2	0	Q9C0I1
NaN		low	586	65.589	NaN	1	1	0	Q8WWW8
NaN		medium	712	75.066	NaN	5	10	0	Q13207
NaN		low	454	50.342	NaN	2	5	0	P13631
NaN		low	418	47.712	NaN	1	3	0	Q58FG1
NaN		low	424	48.076	NaN	1	1	0	Q96LX8
NaN		low	550	61.24	NaN	1	1	0	Q8IX15
NaN		low	1948	217.041	NaN	2	2	0	Q13332
NaN		low	928	101.237	NaN	1	1	0	Q9H6U6
NaN		medium	324	35.58	NaN	2	3	0	P25686
NaN		medium	822	93.828	NaN	4	4	0	Q9UJX6
NaN		low	1257	142.752	NaN	1	1	0	P29374
NaN		medium	5183	573.841	NaN	3	3	0	Q5T4S7
NaN	+	low	129	13.988	NaN	1	8	0	Q16777
NaN		medium	381	41.037	NaN	3	3	0	Q9BUA3
NaN		medium	840	94.983	NaN	4	4	0	Q5FWF5
NaN		low	280	32.808	NaN	1	1	0	Q9H160
NaN		low	5654	585.57	NaN	1	2	0	P98088
NaN		medium	595	66.216	NaN	3	3	0	P03372
NaN		low	2004	225.028	NaN	2	5	0	Q92794
NaN	+	low	126	13.908	NaN	1	7	0	Q8N257
NaN		low	323	35.792	NaN	1	1	0	Q9Y5Q3
NaN		low	1105	121.025	NaN	1	1	0	Q7Z3B3
NaN		low	1347	146.089	NaN	1	1	0	Q6ZU65
NaN		high	835	91.869	NaN	12	12	0	P48960
NaN		high	879	100.417	NaN	9	12	0	P23497
NaN		low	2245	241.653	NaN	1	1	0	Q68DE3
NaN		medium	706	79.292	NaN	4	4	0	O60353
NaN		medium	539	59.511	NaN	3	3	0	P36021
NaN		low	540	60.229	NaN	1	1	0	Q9H5H4
NaN		high	515	59.438	NaN	8	8	0	Q96K12
NaN		low	642	72.153	NaN	1	1	0	Q9UN76
NaN		medium	332	37.809	NaN	5	5	0	O14656
NaN		medium	1202	135.779	NaN	4	4	0	Q13136
NaN		low	406	44.505	NaN	1	2	0	P29558
NaN		low	490	55.098	NaN	1	1	0	Q8WVP7
NaN		medium	272	28.232	NaN	5	5	0	O00287
NaN		low	729	79.549	NaN	1	1	0	Q3YEC7
NaN		high	468	54.393	NaN	14	14	0	Q96HE7
NaN		medium	1250	135.256	NaN	5	5	0	Q70E73
NaN		medium	514	57.337	NaN	3	3	0	Q8N680
NaN		low	1339	148.243	NaN	1	1	0	O75129
NaN		medium	355	39.119	NaN	3	3	0	Q8N6T7
NaN		high	3169	351.157	NaN	22	22	0	Q5SZK8
NaN		medium	1118	127.523	NaN	3	3	0	P40818
NaN		low	431	46.9	NaN	1	1	0	P28324
NaN		low	2813	307.55	NaN	2	2	0	Q12802
NaN		low	315	34.343	NaN	2	2	0	Q9BRX9
NaN		low	602	69.992	NaN	1	1	0	Q14738
NaN		medium	438	48.127	NaN	3	3	0	Q92947
NaN		low	377	43.71	NaN	2	2	0	O75319
NaN		low	247	27.118	NaN	1	1	0	Q9BRN9
NaN		low	436	47.607	NaN	1	1	0	P55347
NaN		medium	3097	346.9	NaN	4	4	0	O75962
NaN		high	584	65.444	NaN	9	10	0	P23368
NaN		low	79	8.736	NaN	1	1	0	P0DP74
NaN		medium	705	79.11	NaN	5	6	0	Q969R5
NaN		medium	1755	192.189	NaN	4	4	0	Q6W2J9
NaN		low	503	56.141	NaN	1	1	0	Q8WWU5
NaN		low	646	71.597	NaN	1	1	0	P30291
NaN		low	195	21.013	NaN	1	1	0	P13498
NaN		low	509	58.536	NaN	1	1	0	P04053
NaN		low	836	93.463	NaN	1	1	0	Q9H2F5
NaN		medium	207	23.171	NaN	4	4	0	P01033
NaN		medium	461	49.973	NaN	7	7	0	P13489
NaN		high	430	47.518	NaN	19	19	0	P00505
NaN		medium	445	50.663	NaN	2	3	0	P50395
NaN		low	414	45.123	NaN	1	1	0	Q9H4B0
NaN		medium	393	42.794	NaN	4	4	0	P51553
NaN		high	525	58.253	NaN	9	9	0	Q10713
NaN		medium	423	46.321	NaN	5	5	0	Q9BXW7
NaN		medium	504	56.196	NaN	4	4	0	Q16401
NaN		medium	483	50.981	NaN	2	3	0	P49840
NaN		low	253	28.278	NaN	1	1	0	P0C1Z6
NaN		medium	1132	129.477	NaN	3	4	0	Q8NB49
NaN		low	142	15.208	NaN	1	1	0	Q96M42
NaN		medium	858	98.201	NaN	3	3	0	Q7L1W4
NaN		medium	1798	195.981	NaN	5	6	0	P55268
NaN		medium	1311	143.191	NaN	3	3	0	O14976
NaN		low	654	74.39	NaN	1	1	0	Q96IV0
NaN		low	932	105.83	NaN	1	1	0	P54277
NaN		low	1141	128.294	NaN	1	1	0	Q00872
NaN		low	146	16.403	NaN	2	2	0	Q9NWA0
NaN		low	292	33.308	NaN	1	1	0	Q15072
NaN		low	431	49.313	NaN	1	1	0	P18075
NaN		low	1382	154.301	NaN	1	3	0	Q96J66
NaN		low	534	62.689	NaN	1	1	0	Q5T5S1
NaN		low	948	101.941	NaN	1	1	0	Q8IXZ2
NaN		medium	699	78.806	NaN	4	5	0	Q06210
NaN		high	332	31.555	NaN	9	9	0	P29966
NaN		low	136	14.874	NaN	1	1	0	O95295
NaN		low	134	15.314	NaN	1	1	0	Q9NQP4
NaN		low	285	32.745	NaN	2	2	0	Q9UIV1
NaN		medium	946	103.169	NaN	3	3	0	O75185
NaN		low	824	93.533	NaN	2	2	0	Q8TD16
NaN		medium	163	17.162	NaN	4	4	0	Q9BX68
NaN		medium	235	25.13	NaN	5	5	0	Q9BQD7
NaN		medium	328	35.668	NaN	5	5	0	Q9UBQ7
NaN		medium	92	10.799	NaN	3	3	0	Q96EX1
NaN		high	489	54.366	NaN	9	10	0	O75439
NaN		high	700	77.629	NaN	9	9	0	O15254
NaN		high	686	74.778	NaN	8	8	0	Q9H6R3
NaN		medium	518	59.746	NaN	7	7	0	Q8NHP6
NaN		medium	548	62.943	NaN	6	6	0	O43776
NaN		low	415	45.07	NaN	2	2	0	Q9UKU7
NaN		low	369	41.016	NaN	1	1	0	Q9H2F3
NaN		low	1435	160.997	NaN	2	2	0	Q9Y2L5
NaN		low	625	69.433	NaN	1	1	0	O43187
NaN		low	1450	162.192	NaN	2	2	0	Q96P48
NaN		low	599	65.699	NaN	1	1	0	Q5D1E8
NaN		low	2000	226.294	NaN	1	1	0	Q9NY46
NaN		low	338	36.842	NaN	2	2	0	P09467
NaN		low	274	30.868	NaN	2	2	0	P15559
NaN		low	352	38.457	NaN	2	2	0	Q96B01
NaN		low	188	21.042	NaN	1	1	0	Q9BSG0
NaN		low	710	78.182	NaN	1	3	0	P02788
NaN		medium	1181	128.781	NaN	3	3	0	Q6AI08
NaN		low	523	55.861	NaN	1	1	0	Q8NDH3
NaN		low	526	58.96	NaN	1	1	0	Q13410
NaN		low	1674	187.179	NaN	1	1	0	Q7Z4S6
NaN		high	408	45.808	NaN	13	13	0	Q6PIU2
NaN		high	730	80.725	NaN	8	8	0	Q8N556
NaN		high	876	98.429	NaN	9	9	0	Q8IWC1
NaN		low	250	28.147	NaN	2	2	0	P19256
NaN		high	534	61.049	NaN	15	15	0	P13674
NaN		high	535	60.902	NaN	9	9	0	O15460
NaN		low	304	34.49	NaN	1	1	0	Q9UBP9
NaN		low	1946	224.619	NaN	2	2	0	Q9Y2K3
NaN		low	1754	178.188	NaN	1	1	0	P39060
NaN		medium	91	10.351	NaN	3	3	0	P0DJ93
NaN		medium	278	30.748	NaN	5	5	0	Q9BT09
NaN		medium	222	24.75	NaN	5	5	0	P04179
NaN		medium	173	18.795	NaN	4	4	0	Q969H8
NaN		medium	629	67.638	NaN	3	4	0	P30825
NaN		low	274	29.354	NaN	1	1	0	Q70HW3
NaN		medium	1257	140.003	NaN	6	6	0	P32004
NaN		medium	677	76.075	NaN	3	3	0	P16278
NaN		low	151	16.57	NaN	1	1	0	P61916
NaN		low	217	24.906	NaN	1	1	0	Q9P2W1
NaN		low	502	56.695	NaN	2	2	0	P51688
NaN		low	236	25.37	NaN	1	1	0	Q8WV74
NaN		medium	1478	166.983	NaN	4	4	0	Q9BQS8
NaN		low	518	58.195	NaN	1	1	0	P51449
NaN		low	360	41.263	NaN	2	2	0	Q86W34
NaN		medium	914	96.11	NaN	4	4	0	Q9BXP2
NaN		medium	3051	330.466	NaN	5	5	0	Q8NFC6
NaN		medium	1163	124.289	NaN	2	3	0	Q92618
NaN	+	low	130	14.121	NaN	1	8	0	Q7L7L0
NaN		low	202	22.955	NaN	1	1	0	Q6ZSR6
NaN		low	770	86.85	NaN	2	2	0	Q86TB9
NaN		medium	963	108.314	NaN	3	3	0	Q6DN90
NaN		high	584	61.709	NaN	14	14	0	O75363
